,roles,companies,locations,skills,experience
487,Hiring For Lead/Senior Data Scientist - Morningstar (Product Based),Morningstar,Mumbai (All Areas),"IT Skills
Python
Testing
Cloud
Oracle
AWS
Azure
Data Science",6-10 Yrs
488,Senior Data Scientist - BFSI,Viaprom Technologies Pvt Ltd,Mumbai,"Data Science
SAS Macros
SAS EG
R
SAS Sql
SAS
Data Scientist
SAS DI Studio",6-10 Yrs
489,Lead Data Scientist/Senior Lead Data Scientist,Bajaj Finserv,Pune,"GIS
Product management
Computer science
Postgresql
TIBCO
SDK
Analytics
Financial services",6-10 Yrs
490,Senior Data Scientist/Senior Data Scientist,Bajaj Finserv,Pune,"Product management
Computer science
Analytical
OLAP
Scrum
OLTP
Financial services
SQL",6-10 Yrs
491,Senior Data Scientist/Senior Data Scientist,Bajaj Finserv,Pune,"Product management
Computer science
Product quality
Google Analytics
Agile
Scrum
data privacy
SEO",6-10 Yrs
492,Lead Data Scientist/Senior Lead Data Scientist,Bajaj Finserv,Pune,"Product management
Computer science
Solution design
Agile scrum
Lead
Manager Technology
Subject matter expertise
Management",6-10 Yrs
493,"Sr. Data Scientist I, SIP",Invesco,Hyderabad/Secunderabad,"Exploratory Data Analysis
Artificial Intelligence
Natural Language Processing
Sentiment Analysis
Machine Learning
Deep Learning
Data Science
Decision Forests",6-10 Yrs
494,GAMMA Lead Data Scientist,Boston Consulting Group,"Mumbai, New Delhi, Chennai, Bangalore/Bengaluru","Data analysis
Operations research
data science
Data management
Business analytics
Consulting
Management consulting
Business strategy",6-10 Yrs
495,Data Scientist - Machine Learning,AugmatrixGo,Bangalore/Bengaluru,"Hive
R
Cloud Computing
Data Scientist
Computer Vision
Machine Learning
Deep Learning
SQL",6-10 Yrs
496,Urgent opening For Senior Data Scientists,Abzooba India Infotech Private Limited,Pune,"IT Skills
Python
Machine Learning
Artificial Intelligence
Big Data
Pyspark
Time Series Analysis
Natural Language Processing",6-10 Yrs
497,Associate Data Scientist - CRM & Loyalty,Shell India Markets Private Limited,Bangalore/Bengaluru,"Direct Marketing
Multivariate Analysis
R
Data Scientist
Factor Analysis
Customer Analytics
Time Series
Market Basket Analysis",6-10 Yrs
498,Data Scientist - Business Analytics,Philips India Limited,Bangalore/Bengaluru,"Process automation
Cloud computing
Change management
Operational excellence
Business analytics
Analytical
Consulting
Data mining",6-10 Yrs
499,Data Scientist,Schneider Electric India Pvt. Ltd.,Bangalore/Bengaluru,"Computer science
Data analysis
Automation
Manager Quality Assurance
Artificial Intelligence
Analytical
MySQL
Machine learning",6-10 Yrs
500,DBCG IND - GAMMA Senior Data Scientist,Boston Consulting Group,"Mumbai, New Delhi, Chennai, Bangalore/Bengaluru","Computer science
advanced analytics
SDS
data science
Artificial Intelligence
Project management
Machine learning
Management consulting",6-10 Yrs
501,Senior Data Scientist,eClerx Services Ltd.,"Pune, Mumbai (All Areas)","Artificial Intelligence
Machine Learning
Python
Predictive Modeling
Text Analytics
Natural Language Processing
Hypothesis Testing
Database Design",6-10 Yrs
502,Senior Data Scientist | CES IT LTD | CMMI Level 5,CES Ltd.,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR","Analytical
Keras
Object Detection
tensorflow
PyTorch
OpenCV
algorithm
Python",6-10 Yrs
503,Data Scientist/Senior Data Scientist,GANIT BUSINESS SOLUTIONS PRIVATE LIMITED,"Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)","Predictive Modeling
Manufacturing Analytics
Python
Data Science
R
Data Quality
Algorithms
VBA",6-10 Yrs
504,Senior Data Scientist,Flipkart Internet Private Limited,California,"Pytorch
Tensorflow
Data Science
NLP
Artificial Intelligence
Keras
Computer Vision
Deep Learning",6-10 Yrs
505,Data Scientist,CronJ IT Technologies Private Limited,Bangalore/Bengaluru,"IT Skills
Python
Data Science
AWS
Tensorflow
Java
C++
C",6-10 Yrs
506,Staff Data Scientist,Walmart Global Tech India,Other,NA,6-10 Yrs
507,Hiring For Lead/Senior Data Scientist - Morningstar (Product Based),Morningstar,Mumbai (All Areas),"IT Skills
Python
Testing
Cloud
Oracle
AWS
Azure
Data Science",6-10 Yrs
508,Senior Data Scientist - BFSI,Viaprom Technologies Pvt Ltd,Mumbai,"Data Science
SAS Macros
SAS EG
R
SAS Sql
SAS
Data Scientist
SAS DI Studio",6-10 Yrs
509,Lead Data Scientist/Senior Lead Data Scientist,Bajaj Finserv,Pune,"GIS
Product management
Computer science
Postgresql
TIBCO
SDK
Analytics
Financial services",6-10 Yrs
510,Senior Data Scientist/Senior Data Scientist,Bajaj Finserv,Pune,"Product management
Computer science
Analytical
OLAP
Scrum
OLTP
Financial services
SQL",6-10 Yrs
511,Senior Data Scientist/Senior Data Scientist,Bajaj Finserv,Pune,"Product management
Computer science
Product quality
Google Analytics
Agile
Scrum
data privacy
SEO",6-10 Yrs
512,Lead Data Scientist/Senior Lead Data Scientist,Bajaj Finserv,Pune,"Product management
Computer science
Solution design
Agile scrum
Lead
Manager Technology
Subject matter expertise
Management",6-10 Yrs
513,"Sr. Data Scientist I, SIP",Invesco,Hyderabad/Secunderabad,"Exploratory Data Analysis
Artificial Intelligence
Natural Language Processing
Sentiment Analysis
Machine Learning
Deep Learning
Data Science
Decision Forests",6-10 Yrs
514,GAMMA Lead Data Scientist,Boston Consulting Group,"Mumbai, New Delhi, Chennai, Bangalore/Bengaluru","Data analysis
Operations research
data science
Data management
Business analytics
Consulting
Management consulting
Business strategy",6-10 Yrs
515,Data Scientist - Machine Learning,AugmatrixGo,Bangalore/Bengaluru,"Hive
R
Cloud Computing
Data Scientist
Computer Vision
Machine Learning
Deep Learning
SQL",6-10 Yrs
516,Urgent opening For Senior Data Scientists,Abzooba India Infotech Private Limited,Pune,"IT Skills
Python
Machine Learning
Artificial Intelligence
Big Data
Pyspark
Time Series Analysis
Natural Language Processing",6-10 Yrs
517,Associate Data Scientist - CRM & Loyalty,Shell India Markets Private Limited,Bangalore/Bengaluru,"Direct Marketing
Multivariate Analysis
R
Data Scientist
Factor Analysis
Customer Analytics
Time Series
Market Basket Analysis",6-10 Yrs
518,Data Scientist - Business Analytics,Philips India Limited,Bangalore/Bengaluru,"Process automation
Cloud computing
Change management
Operational excellence
Business analytics
Analytical
Consulting
Data mining",6-10 Yrs
519,Data Scientist,Schneider Electric India Pvt. Ltd.,Bangalore/Bengaluru,"Computer science
Data analysis
Automation
Manager Quality Assurance
Artificial Intelligence
Analytical
MySQL
Machine learning",6-10 Yrs
520,DBCG IND - GAMMA Senior Data Scientist,Boston Consulting Group,"Mumbai, New Delhi, Chennai, Bangalore/Bengaluru","Computer science
advanced analytics
SDS
data science
Artificial Intelligence
Project management
Machine learning
Management consulting",6-10 Yrs
521,Senior Data Scientist,eClerx Services Ltd.,"Pune, Mumbai (All Areas)","Artificial Intelligence
Machine Learning
Python
Predictive Modeling
Text Analytics
Natural Language Processing
Hypothesis Testing
Database Design",6-10 Yrs
522,Senior Data Scientist | CES IT LTD | CMMI Level 5,CES Ltd.,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR","Analytical
Keras
Object Detection
tensorflow
PyTorch
OpenCV
algorithm
Python",6-10 Yrs
523,Data Scientist/Senior Data Scientist,GANIT BUSINESS SOLUTIONS PRIVATE LIMITED,"Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)","Predictive Modeling
Manufacturing Analytics
Python
Data Science
R
Data Quality
Algorithms
VBA",6-10 Yrs
524,Senior Data Scientist,Flipkart Internet Private Limited,California,"Pytorch
Tensorflow
Data Science
NLP
Artificial Intelligence
Keras
Computer Vision
Deep Learning",6-10 Yrs
525,Data Scientist,CronJ IT Technologies Private Limited,Bangalore/Bengaluru,"IT Skills
Python
Data Science
AWS
Tensorflow
Java
C++
C",6-10 Yrs
526,Staff Data Scientist,Walmart Global Tech India,Other,NA,6-10 Yrs
527,Hiring For Lead/Senior Data Scientist - Morningstar (Product Based),Morningstar,Mumbai (All Areas),"IT Skills
Python
Testing
Cloud
Oracle
AWS
Azure
Data Science",6-10 Yrs
528,Senior Data Scientist - BFSI,Viaprom Technologies Pvt Ltd,Mumbai,"Data Science
SAS Macros
SAS EG
R
SAS Sql
SAS
Data Scientist
SAS DI Studio",6-10 Yrs
529,Lead Data Scientist/Senior Lead Data Scientist,Bajaj Finserv,Pune,"GIS
Product management
Computer science
Postgresql
TIBCO
SDK
Analytics
Financial services",6-10 Yrs
530,Senior Data Scientist/Senior Data Scientist,Bajaj Finserv,Pune,"Product management
Computer science
Analytical
OLAP
Scrum
OLTP
Financial services
SQL",6-10 Yrs
531,Senior Data Scientist/Senior Data Scientist,Bajaj Finserv,Pune,"Product management
Computer science
Product quality
Google Analytics
Agile
Scrum
data privacy
SEO",6-10 Yrs
532,Lead Data Scientist/Senior Lead Data Scientist,Bajaj Finserv,Pune,"Product management
Computer science
Solution design
Agile scrum
Lead
Manager Technology
Subject matter expertise
Management",6-10 Yrs
533,"Sr. Data Scientist I, SIP",Invesco,Hyderabad/Secunderabad,"Exploratory Data Analysis
Artificial Intelligence
Natural Language Processing
Sentiment Analysis
Machine Learning
Deep Learning
Data Science
Decision Forests",6-10 Yrs
534,GAMMA Lead Data Scientist,Boston Consulting Group,"Mumbai, New Delhi, Chennai, Bangalore/Bengaluru","Data analysis
Operations research
data science
Data management
Business analytics
Consulting
Management consulting
Business strategy",6-10 Yrs
535,Data Scientist - Machine Learning,AugmatrixGo,Bangalore/Bengaluru,"Hive
R
Cloud Computing
Data Scientist
Computer Vision
Machine Learning
Deep Learning
SQL",6-10 Yrs
536,Urgent opening For Senior Data Scientists,Abzooba India Infotech Private Limited,Pune,"IT Skills
Python
Machine Learning
Artificial Intelligence
Big Data
Pyspark
Time Series Analysis
Natural Language Processing",6-10 Yrs
537,Associate Data Scientist - CRM & Loyalty,Shell India Markets Private Limited,Bangalore/Bengaluru,"Direct Marketing
Multivariate Analysis
R
Data Scientist
Factor Analysis
Customer Analytics
Time Series
Market Basket Analysis",6-10 Yrs
538,Data Scientist - Business Analytics,Philips India Limited,Bangalore/Bengaluru,"Process automation
Cloud computing
Change management
Operational excellence
Business analytics
Analytical
Consulting
Data mining",6-10 Yrs
539,Data Scientist,Schneider Electric India Pvt. Ltd.,Bangalore/Bengaluru,"Computer science
Data analysis
Automation
Manager Quality Assurance
Artificial Intelligence
Analytical
MySQL
Machine learning",6-10 Yrs
540,DBCG IND - GAMMA Senior Data Scientist,Boston Consulting Group,"Mumbai, New Delhi, Chennai, Bangalore/Bengaluru","Computer science
advanced analytics
SDS
data science
Artificial Intelligence
Project management
Machine learning
Management consulting",6-10 Yrs
541,"Sr. Data Scientist I, SIP",Invesco,Hyderabad/Secunderabad,"Exploratory Data Analysis
Artificial Intelligence
Natural Language Processing
Sentiment Analysis
Machine Learning
Deep Learning
Data Science
Decision Forests",6-10 Yrs
542,Senior Data Scientist,eClerx Services Ltd.,"Pune, Mumbai (All Areas)","Artificial Intelligence
Machine Learning
Python
Predictive Modeling
Text Analytics
Natural Language Processing
Hypothesis Testing
Database Design",6-10 Yrs
543,Senior Data Scientist | CES IT LTD | CMMI Level 5,CES Ltd.,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR","Analytical
Keras
Object Detection
tensorflow
PyTorch
OpenCV
algorithm
Python",6-10 Yrs
544,Data Scientist/Senior Data Scientist,GANIT BUSINESS SOLUTIONS PRIVATE LIMITED,"Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)","Predictive Modeling
Manufacturing Analytics
Python
Data Science
R
Data Quality
Algorithms
VBA",6-10 Yrs
545,Data Scientist,CronJ IT Technologies Private Limited,Bangalore/Bengaluru,"IT Skills
Python
Data Science
AWS
Tensorflow
Java
C++
C",6-10 Yrs
546,Staff Data Scientist,Walmart Global Tech India,Other,NA,6-10 Yrs
547,Hiring For Lead/Senior Data Scientist - Morningstar (Product Based),Morningstar,Mumbai (All Areas),"IT Skills
Python
Testing
Cloud
Oracle
AWS
Azure
Data Science",6-10 Yrs
548,Senior Data Scientist - BFSI,Viaprom Technologies Pvt Ltd,Mumbai,"Data Science
SAS Macros
SAS EG
R
SAS Sql
SAS
Data Scientist
SAS DI Studio",6-10 Yrs
549,Lead Data Scientist/Senior Lead Data Scientist,Bajaj Finserv,Pune,"GIS
Product management
Computer science
Postgresql
TIBCO
SDK
Analytics
Financial services",6-10 Yrs
550,Senior Data Scientist/Senior Data Scientist,Bajaj Finserv,Pune,"Product management
Computer science
Analytical
OLAP
Scrum
OLTP
Financial services
SQL",6-10 Yrs
551,Senior Data Scientist/Senior Data Scientist,Bajaj Finserv,Pune,"Product management
Computer science
Product quality
Google Analytics
Agile
Scrum
data privacy
SEO",6-10 Yrs
552,Lead Data Scientist/Senior Lead Data Scientist,Bajaj Finserv,Pune,"Product management
Computer science
Solution design
Agile scrum
Lead
Manager Technology
Subject matter expertise
Management",6-10 Yrs
553,GAMMA Lead Data Scientist,Boston Consulting Group,"Mumbai, New Delhi, Chennai, Bangalore/Bengaluru","Data analysis
Operations research
data science
Data management
Business analytics
Consulting
Management consulting
Business strategy",6-10 Yrs
554,Data Scientist - Machine Learning,AugmatrixGo,Bangalore/Bengaluru,"Hive
R
Cloud Computing
Data Scientist
Computer Vision
Machine Learning
Deep Learning
SQL",6-10 Yrs
555,Senior Data Scientist,Flipkart Internet Private Limited,California,"Pytorch
Tensorflow
Data Science
NLP
Artificial Intelligence
Keras
Computer Vision
Deep Learning",6-10 Yrs
556,Urgent opening For Senior Data Scientists,Abzooba India Infotech Private Limited,Pune,"IT Skills
Python
Machine Learning
Artificial Intelligence
Big Data
Pyspark
Time Series Analysis
Natural Language Processing",6-10 Yrs
557,Associate Data Scientist - CRM & Loyalty,Shell India Markets Private Limited,Bangalore/Bengaluru,"Direct Marketing
Multivariate Analysis
R
Data Scientist
Factor Analysis
Customer Analytics
Time Series
Market Basket Analysis",6-10 Yrs
558,Data Scientist - Business Analytics,Philips India Limited,Bangalore/Bengaluru,"Process automation
Cloud computing
Change management
Operational excellence
Business analytics
Analytical
Consulting
Data mining",6-10 Yrs
559,Data Scientist,Schneider Electric India Pvt. Ltd.,Bangalore/Bengaluru,"Computer science
Data analysis
Automation
Manager Quality Assurance
Artificial Intelligence
Analytical
MySQL
Machine learning",6-10 Yrs
560,DBCG IND - GAMMA Senior Data Scientist,Boston Consulting Group,"Mumbai, New Delhi, Chennai, Bangalore/Bengaluru","Computer science
advanced analytics
SDS
data science
Artificial Intelligence
Project management
Machine learning
Management consulting",6-10 Yrs
561,Senior Data Scientist/Senior Data Scientist,Bajaj Finserv,Pune,"Product management
Computer science
Analytical
OLAP
Scrum
OLTP
Financial services
SQL",6-10 Yrs
562,Senior Data Scientist,eClerx Services Ltd.,"Pune, Mumbai (All Areas)","Artificial Intelligence
Machine Learning
Python
Predictive Modeling
Text Analytics
Natural Language Processing
Hypothesis Testing
Database Design",6-10 Yrs
563,Senior Data Scientist | CES IT LTD | CMMI Level 5,CES Ltd.,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR","Analytical
Keras
Object Detection
tensorflow
PyTorch
OpenCV
algorithm
Python",6-10 Yrs
564,Data Scientist/Senior Data Scientist,GANIT BUSINESS SOLUTIONS PRIVATE LIMITED,"Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)","Predictive Modeling
Manufacturing Analytics
Python
Data Science
R
Data Quality
Algorithms
VBA",6-10 Yrs
565,Data Scientist,CronJ IT Technologies Private Limited,Bangalore/Bengaluru,"IT Skills
Python
Data Science
AWS
Tensorflow
Java
C++
C",6-10 Yrs
566,Staff Data Scientist,Walmart Global Tech India,Other,NA,6-10 Yrs
567,Hiring For Lead/Senior Data Scientist - Morningstar (Product Based),Morningstar,Mumbai (All Areas),"IT Skills
Python
Testing
Cloud
Oracle
AWS
Azure
Data Science",6-10 Yrs
568,Senior Data Scientist - BFSI,Viaprom Technologies Pvt Ltd,Mumbai,"Data Science
SAS Macros
SAS EG
R
SAS Sql
SAS
Data Scientist
SAS DI Studio",6-10 Yrs
569,Lead Data Scientist/Senior Lead Data Scientist,Bajaj Finserv,Pune,"GIS
Product management
Computer science
Postgresql
TIBCO
SDK
Analytics
Financial services",6-10 Yrs
570,Senior Data Scientist/Senior Data Scientist,Bajaj Finserv,Pune,"Product management
Computer science
Product quality
Google Analytics
Agile
Scrum
data privacy
SEO",6-10 Yrs
571,Lead Data Scientist/Senior Lead Data Scientist,Bajaj Finserv,Pune,"Product management
Computer science
Solution design
Agile scrum
Lead
Manager Technology
Subject matter expertise
Management",6-10 Yrs
572,"Sr. Data Scientist I, SIP",Invesco,Hyderabad/Secunderabad,"Exploratory Data Analysis
Artificial Intelligence
Natural Language Processing
Sentiment Analysis
Machine Learning
Deep Learning
Data Science
Decision Forests",6-10 Yrs
573,GAMMA Lead Data Scientist,Boston Consulting Group,"Mumbai, New Delhi, Chennai, Bangalore/Bengaluru","Data analysis
Operations research
data science
Data management
Business analytics
Consulting
Management consulting
Business strategy",6-10 Yrs
574,Data Scientist - Machine Learning,AugmatrixGo,Bangalore/Bengaluru,"Hive
R
Cloud Computing
Data Scientist
Computer Vision
Machine Learning
Deep Learning
SQL",6-10 Yrs
575,Senior Data Scientist,Flipkart Internet Private Limited,California,"Pytorch
Tensorflow
Data Science
NLP
Artificial Intelligence
Keras
Computer Vision
Deep Learning",6-10 Yrs
576,Urgent opening For Senior Data Scientists,Abzooba India Infotech Private Limited,Pune,"IT Skills
Python
Machine Learning
Artificial Intelligence
Big Data
Pyspark
Time Series Analysis
Natural Language Processing",6-10 Yrs
577,Associate Data Scientist - CRM & Loyalty,Shell India Markets Private Limited,Bangalore/Bengaluru,"Direct Marketing
Multivariate Analysis
R
Data Scientist
Factor Analysis
Customer Analytics
Time Series
Market Basket Analysis",6-10 Yrs
578,Data Scientist - Business Analytics,Philips India Limited,Bangalore/Bengaluru,"Process automation
Cloud computing
Change management
Operational excellence
Business analytics
Analytical
Consulting
Data mining",6-10 Yrs
579,ManagerClinical Data Scientist,PFIZER LIMITED,Chennai,"Biometrics
Data management
Query management
Research
Monitoring
clinical data",6-10 Yrs
580,DBCG IND - GAMMA Senior Data Scientist,Boston Consulting Group,"Mumbai, New Delhi, Chennai, Bangalore/Bengaluru","Computer science
advanced analytics
SDS
data science
Artificial Intelligence
Project management
Machine learning
Management consulting",6-10 Yrs
581,Senior Data Scientist,eClerx Services Ltd.,"Pune, Mumbai (All Areas)","Artificial Intelligence
Machine Learning
Python
Predictive Modeling
Text Analytics
Natural Language Processing
Hypothesis Testing
Database Design",6-10 Yrs
582,Senior Data Scientist | CES IT LTD | CMMI Level 5,CES Ltd.,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR","Analytical
Keras
Object Detection
tensorflow
PyTorch
OpenCV
algorithm
Python",6-10 Yrs
583,Data Scientist/Senior Data Scientist,GANIT BUSINESS SOLUTIONS PRIVATE LIMITED,"Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)","Predictive Modeling
Manufacturing Analytics
Python
Data Science
R
Data Quality
Algorithms
VBA",6-10 Yrs
584,Senior Data Scientist,Flipkart Internet Private Limited,California,"Pytorch
Tensorflow
Data Science
NLP
Artificial Intelligence
Keras
Computer Vision
Deep Learning",6-10 Yrs
585,Data Scientist,CronJ IT Technologies Private Limited,Bangalore/Bengaluru,"IT Skills
Python
Data Science
AWS
Tensorflow
Java
C++
C",6-10 Yrs
586,Staff Data Scientist,Walmart Global Tech India,Other,NA,6-10 Yrs
587,Hiring For Lead/Senior Data Scientist - Morningstar (Product Based),Morningstar,Mumbai (All Areas),"IT Skills
Python
Testing
Cloud
Oracle
AWS
Azure
Data Science",6-10 Yrs
588,Senior Data Scientist - BFSI,Viaprom Technologies Pvt Ltd,Mumbai,"Data Science
SAS Macros
SAS EG
R
SAS Sql
SAS
Data Scientist
SAS DI Studio",6-10 Yrs
589,Lead Data Scientist/Senior Lead Data Scientist,Bajaj Finserv,Pune,"GIS
Product management
Computer science
Postgresql
TIBCO
SDK
Analytics
Financial services",6-10 Yrs
590,Senior Data Scientist/Senior Data Scientist,Bajaj Finserv,Pune,"Product management
Computer science
Analytical
OLAP
Scrum
OLTP
Financial services
SQL",6-10 Yrs
591,Senior Data Scientist/Senior Data Scientist,Bajaj Finserv,Pune,"Product management
Computer science
Product quality
Google Analytics
Agile
Scrum
data privacy
SEO",6-10 Yrs
592,Lead Data Scientist/Senior Lead Data Scientist,Bajaj Finserv,Pune,"Product management
Computer science
Solution design
Agile scrum
Lead
Manager Technology
Subject matter expertise
Management",6-10 Yrs
593,"Sr. Data Scientist I, SIP",Invesco,Hyderabad/Secunderabad,"Exploratory Data Analysis
Artificial Intelligence
Natural Language Processing
Sentiment Analysis
Machine Learning
Deep Learning
Data Science
Decision Forests",6-10 Yrs
594,GAMMA Lead Data Scientist,Boston Consulting Group,"Mumbai, New Delhi, Chennai, Bangalore/Bengaluru","Data analysis
Operations research
data science
Data management
Business analytics
Consulting
Management consulting
Business strategy",6-10 Yrs
595,Data Scientist - Machine Learning,AugmatrixGo,Bangalore/Bengaluru,"Hive
R
Cloud Computing
Data Scientist
Computer Vision
Machine Learning
Deep Learning
SQL",6-10 Yrs
596,Urgent opening For Senior Data Scientists,Abzooba India Infotech Private Limited,Pune,"IT Skills
Python
Machine Learning
Artificial Intelligence
Big Data
Pyspark
Time Series Analysis
Natural Language Processing",6-10 Yrs
597,Associate Data Scientist - CRM & Loyalty,Shell India Markets Private Limited,Bangalore/Bengaluru,"Direct Marketing
Multivariate Analysis
R
Data Scientist
Factor Analysis
Customer Analytics
Time Series
Market Basket Analysis",6-10 Yrs
598,Data Scientist - Business Analytics,Philips India Limited,Bangalore/Bengaluru,"Process automation
Cloud computing
Change management
Operational excellence
Business analytics
Analytical
Consulting
Data mining",6-10 Yrs
599,Data Scientist,Schneider Electric India Pvt. Ltd.,Bangalore/Bengaluru,"Computer science
Data analysis
Automation
Manager Quality Assurance
Artificial Intelligence
Analytical
MySQL
Machine learning",6-10 Yrs
600,DBCG IND - GAMMA Senior Data Scientist,Boston Consulting Group,"Mumbai, New Delhi, Chennai, Bangalore/Bengaluru","Computer science
advanced analytics
SDS
data science
Artificial Intelligence
Project management
Machine learning
Management consulting",6-10 Yrs
601,Senior Data Scientist,eClerx Services Ltd.,"Pune, Mumbai (All Areas)","Artificial Intelligence
Machine Learning
Python
Predictive Modeling
Text Analytics
Natural Language Processing
Hypothesis Testing
Database Design",6-10 Yrs
602,Senior Data Scientist | CES IT LTD | CMMI Level 5,CES Ltd.,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR","Analytical
Keras
Object Detection
tensorflow
PyTorch
OpenCV
algorithm
Python",6-10 Yrs
603,Data Scientist/Senior Data Scientist,GANIT BUSINESS SOLUTIONS PRIVATE LIMITED,"Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)","Predictive Modeling
Manufacturing Analytics
Python
Data Science
R
Data Quality
Algorithms
VBA",6-10 Yrs
604,Senior Data Scientist,Flipkart Internet Private Limited,California,"Pytorch
Tensorflow
Data Science
NLP
Artificial Intelligence
Keras
Computer Vision
Deep Learning",6-10 Yrs
605,Data Scientist,CronJ IT Technologies Private Limited,Bangalore/Bengaluru,"IT Skills
Python
Data Science
AWS
Tensorflow
Java
C++
C",6-10 Yrs
606,Staff Data Scientist,Walmart Global Tech India,Other,NA,6-10 Yrs
607,Hiring For Lead/Senior Data Scientist - Morningstar (Product Based),Morningstar,Mumbai (All Areas),"IT Skills
Python
Testing
Cloud
Oracle
AWS
Azure
Data Science",6-10 Yrs
608,Senior Data Scientist - BFSI,Viaprom Technologies Pvt Ltd,Mumbai,"Data Science
SAS Macros
SAS EG
R
SAS Sql
SAS
Data Scientist
SAS DI Studio",6-10 Yrs
609,Lead Data Scientist/Senior Lead Data Scientist,Bajaj Finserv,Pune,"GIS
Product management
Computer science
Postgresql
TIBCO
SDK
Analytics
Financial services",6-10 Yrs
610,Senior Data Scientist/Senior Data Scientist,Bajaj Finserv,Pune,"Product management
Computer science
Analytical
OLAP
Scrum
OLTP
Financial services
SQL",6-10 Yrs
611,Senior Data Scientist/Senior Data Scientist,Bajaj Finserv,Pune,"Product management
Computer science
Product quality
Google Analytics
Agile
Scrum
data privacy
SEO",6-10 Yrs
612,Lead Data Scientist/Senior Lead Data Scientist,Bajaj Finserv,Pune,"Product management
Computer science
Solution design
Agile scrum
Lead
Manager Technology
Subject matter expertise
Management",6-10 Yrs
613,"Sr. Data Scientist I, SIP",Invesco,Hyderabad/Secunderabad,"Exploratory Data Analysis
Artificial Intelligence
Natural Language Processing
Sentiment Analysis
Machine Learning
Deep Learning
Data Science
Decision Forests",6-10 Yrs
614,GAMMA Lead Data Scientist,Boston Consulting Group,"Mumbai, New Delhi, Chennai, Bangalore/Bengaluru","Data analysis
Operations research
data science
Data management
Business analytics
Consulting
Management consulting
Business strategy",6-10 Yrs
615,Data Scientist - Machine Learning,AugmatrixGo,Bangalore/Bengaluru,"Hive
R
Cloud Computing
Data Scientist
Computer Vision
Machine Learning
Deep Learning
SQL",6-10 Yrs
616,Urgent opening For Senior Data Scientists,Abzooba India Infotech Private Limited,Pune,"IT Skills
Python
Machine Learning
Artificial Intelligence
Big Data
Pyspark
Time Series Analysis
Natural Language Processing",6-10 Yrs
617,Associate Data Scientist - CRM & Loyalty,Shell India Markets Private Limited,Bangalore/Bengaluru,"Direct Marketing
Multivariate Analysis
R
Data Scientist
Factor Analysis
Customer Analytics
Time Series
Market Basket Analysis",6-10 Yrs
618,Data Scientist - Business Analytics,Philips India Limited,Bangalore/Bengaluru,"Process automation
Cloud computing
Change management
Operational excellence
Business analytics
Analytical
Consulting
Data mining",6-10 Yrs
619,Data Scientist,Schneider Electric India Pvt. Ltd.,Bangalore/Bengaluru,"Computer science
Data analysis
Automation
Manager Quality Assurance
Artificial Intelligence
Analytical
MySQL
Machine learning",6-10 Yrs
620,DBCG IND - GAMMA Senior Data Scientist,Boston Consulting Group,"Mumbai, New Delhi, Chennai, Bangalore/Bengaluru","Computer science
advanced analytics
SDS
data science
Artificial Intelligence
Project management
Machine learning
Management consulting",6-10 Yrs
621,Senior Data Scientist,eClerx Services Ltd.,"Pune, Mumbai (All Areas)","Artificial Intelligence
Machine Learning
Python
Predictive Modeling
Text Analytics
Natural Language Processing
Hypothesis Testing
Database Design",6-10 Yrs
622,Senior Data Scientist | CES IT LTD | CMMI Level 5,CES Ltd.,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR","Analytical
Keras
Object Detection
tensorflow
PyTorch
OpenCV
algorithm
Python",6-10 Yrs
623,Data Scientist/Senior Data Scientist,GANIT BUSINESS SOLUTIONS PRIVATE LIMITED,"Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)","Predictive Modeling
Manufacturing Analytics
Python
Data Science
R
Data Quality
Algorithms
VBA",6-10 Yrs
624,Senior Data Scientist,Flipkart Internet Private Limited,California,"Pytorch
Tensorflow
Data Science
NLP
Artificial Intelligence
Keras
Computer Vision
Deep Learning",6-10 Yrs
